ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
fASV10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_persicinum	0.9999993
fASV100	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	0.9773374
fASV101	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_atricola	0.7844246
fASV102	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	unidentified	0.8064969
fASV103	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA	0.8370822
fASV104	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_piluliferum	0.9679123
fASV105	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa	Minimedusa_polyspora	0.9995157
fASV106	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Setosphaeria	Setosphaeria_pedicellata	0.9518536
fASV108	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_atricola	0.9974757
fASV109	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_bialowiezense	0.8963046
fASV11	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Fusidium	unidentified	0.9071555
fASV111	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	Paraphaeosphaeria_minitans	0.9994806
fASV112	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_africanum	1
fASV113	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus_deciduus	1
fASV114	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9979673
fASV115	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA	0.9494678
fASV119	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NA	NA	0.9999999
fASV12	Fungi	Ascomycota	NA	NA	NA	NA	NA	0.9999796
fASV120	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa	Minimedusa_polyspora	0.9992671
fASV121	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA	0.9828669
fASV122	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Dichotomopilus	Dichotomopilus_subfunicola	0.7314587
fASV123	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_carpinicola	0.7375454
fASV124	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9997871
fASV125	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA	0.9990049
fASV126	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola_nigrescens	0.8820423
fASV127	Fungi	Ascomycota	Sordariomycetes	Branch06	unidentified	unidentified	unidentified	1
fASV128	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	unidentified	0.8432109
fASV13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	unidentified	0.9634679
fASV130	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9995265
fASV131	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA	0.9944197
fASV132	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	0.9723432
fASV133	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium_lilacinum	0.9990394
fASV135	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9992293
fASV136	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Monocillium	Monocillium_griseo-ochraceum	0.9999747
fASV138	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_kiliense	0.9937445
fASV139	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	0.9997369
fASV14	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA	0.765947
fASV140	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Neoroussoella	Neoroussoella_heveae	0.7209728
fASV145	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola_nigrescens	0.8444724
fASV147	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophaeosphaeria	Setophaeosphaeria_sidae	0.9604264
fASV148	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	Chloridium_aseptatum	0.9999997
fASV149	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus_deciduus	1
fASV15	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.999617
fASV150	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9997084
fASV152	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_atricola	0.9962997
fASV153	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_bialowiezense	0.999984
fASV154	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Dichotomopilus	Dichotomopilus_pratensis	0.9999998
fASV155	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA	0.8265995
fASV157	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	unidentified	0.7151976
fASV158	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	0.9967205
fASV159	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	0.7139685
fASV16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_virilente	0.9906714
fASV160	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA	0.8770493
fASV162	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_bialowiezense	0.8243591
fASV163	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_minutissima	0.9781384
fASV165	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	unidentified	0.9806189
fASV166	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	NA	NA	0.9998592
fASV167	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	unidentified	0.79796
fASV17	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9989881
fASV170	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	NA	0.9008878
fASV173	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Valsonectria	Valsonectria_simpsonii	0.9991602
fASV175	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_setigerum	0.9530748
fASV176	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Truncatella	Truncatella_angustata	0.8521151
fASV178	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Udeniozyma	Udeniozyma_ferulica	0.9996322
fASV18	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Emericellopsis	unidentified	0.9748486
fASV180	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA	0.9210589
fASV183	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Tubaria	Tubaria_furfuracea	0.8954375
fASV185	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	NA	NA	0.9590263
fASV186	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA	0.8930051
fASV187	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	unidentified	0.9924361
fASV189	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_fujikuroi	0.9358577
fASV19	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA	0.7381163
fASV191	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_setigerum	0.748021
fASV192	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_stromaticum	0.931643
fASV194	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani	0.8987972
fASV196	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Cephalotrichum	Cephalotrichum_asperulum	0.9784768
fASV197	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	unidentified	0.8926227
fASV2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA	0.9999195
fASV20	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_funiculosus	0.950945
fASV202	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Thelonectria	unidentified	0.8834047
fASV203	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_setigerum	0.7968628
fASV206	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_turrialbense	0.9819288
fASV21	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA	0.8796448
fASV213	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani	0.9864784
fASV214	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_setigerum	0.9690643
fASV215	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA	0.9835319
fASV216	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Botryotrichum	Botryotrichum_atrogriseum	0.952818
fASV22	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Waitea	Waitea_circinata	0.9164523
fASV220	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA	0.9948365
fASV222	Fungi	Ascomycota	Sordariomycetes	Boliniales	unidentified	unidentified	unidentified	0.9776861
fASV223	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	0.9993644
fASV224	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	unidentified	0.9654168
fASV228	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	0.999709
fASV23	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_minutissima	0.9713439
fASV231	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA	0.9073297
fASV236	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA	0.997087
fASV239	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9981767
fASV24	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_hominis	0.9931218
fASV242	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA	0.9797194
fASV243	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	0.8287691
fASV245	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Achroiostachys	Achroiostachys_levigata	0.9934374
fASV246	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_amoeboidea	0.8791549
fASV248	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	unidentified	unidentified	0.9680091
fASV249	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_carpinicola	0.852572
fASV25	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus	Thanatephorus_cucumeris	0.8998474
fASV252	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	Fusicolla_aquaeductuum	0.9371347
fASV255	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Byssonectria	Byssonectria_fusispora	0.9950257
fASV257	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	Scutellinia_torrentis	0.999995
fASV258	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA	0.9368009
fASV26	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_aeria	0.7157679
fASV267	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_setigerum	0.9002816
fASV268	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_stromaticum	0.9771869
fASV269	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Botryotrichum	Botryotrichum_atrogriseum	0.8130741
fASV27	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	Metacordyceps_chlamydosporia	0.9998705
fASV270	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Striatibotrys	NA	0.9538831
fASV271	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_rhaphiolepidis	0.9996746
fASV273	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	NA	0.9970826
fASV28	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_aggressivum	0.9635708
fASV280	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_carpinicola	0.7864043
fASV288	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA	0.9678286
fASV29	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_alternatum	0.9984461
fASV291	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis_tshawytschae	0.999999
fASV293	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_carpinicola	0.7469749
fASV297	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA	0.9938504
fASV3	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Botryoderma	unidentified	0.7842128
fASV30	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	unidentified	unidentified	0.9557243
fASV300	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_carpinicola	0.7712207
fASV301	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Remersonia	Remersonia_thermophila	0.8907507
fASV305	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia_subiculosa	0.7617895
fASV31	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	unidentified	0.982962
fASV310	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	0.8433231
fASV311	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	unidentified	0.7130627
fASV316	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Gelasinospora	Gelasinospora_cratophora	0.9552578
fASV318	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_coccodes	0.9969642
fASV319	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	unidentified	unidentified	0.9142394
fASV32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA	0.9938689
fASV320	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9997244
fASV322	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Gliomastix	Gliomastix_murorum	0.9989219
fASV323	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana	0.9934846
fASV325	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	0.8673879
fASV327	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	unidentified	0.9999277
fASV329	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella_aquatica	0.7355969
fASV33	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	Fusicolla_septimanifiniscientiae	0.9629655
fASV331	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	0.7523536
fASV332	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Leucothecium	Leucothecium_emdenii	1
fASV337	Fungi	Monoblepharomycota	Sanchytriomycetes	Sanchytriales	Sanchytriaceae	unidentified	unidentified	0.984131
fASV339	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_carpinicola	0.7641248
fASV34	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA	0.7312704
fASV349	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_aerugineum	0.7040809
fASV35	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_equina	0.999991
fASV359	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	Volutella_ciliata	0.9999995
fASV36	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	NA	0.9999995
fASV360	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	0.999501
fASV367	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pullulans	1
fASV37	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Waitea	Waitea_circinata	0.9805852
fASV371	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Ciliolarina	Ciliolarina_pinicola	0.9691711
fASV374	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum_floriforme	0.9999999
fASV375	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA	0.7958616
fASV376	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA	0.7595746
fASV378	Fungi	Chytridiomycota	NA	NA	NA	NA	NA	0.7385499
fASV380	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_piluliferum	0.8922276
fASV386	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	NA	NA	0.7156831
fASV39	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus	Thanatephorus_cucumeris	0.8367667
fASV391	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	0.9839997
fASV395	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_oryzae	0.8716533
fASV4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_fujikuroi	0.7638579
